MainDataset,Title,date,classifier,RunType,cv,brt_nTrue,brt_nTop,param_clf,param_clf__max_depth,param_clf__n_estimators,param_clf__random_state,param_clf__max_iter,param_clf__learning_rate,mean_test_accuracy,mean_test_balanced_accuracy,mean_test_roc_auc,mean_test_f1,mean_test_recall,mean_test_sensitivity,mean_test_specificity,mean_test_precision,mean_test_NPV,mean_test_PPV,brt_md,brt_params
dfcmplt,dfcmplt_Holdout,2024-04-30 14:42:05.089744,RandomForestClassifier,Holdout,5,,,RandomForestClassifier(),3,100,42,,,0.8504072398190046,0.8148437039995289,0.9460281287825841,0.7721862840320918,0.6357252298263534,0.6357252298263534,0.9939621781727045,0.9860314879780953,0.8036113086280932,0.9860314879780953,,T1000_itrr500_th100_topR5
dfcmplt,dfcmplt_Holdout,2024-04-30 14:42:05.089744,RandomForestClassifier,Holdout,5,,,RandomForestClassifier(),3,1000,42,,,0.8431386260798025,0.8061698871796447,0.9519756071393081,0.7596028152815686,0.6198927477017365,0.6198927477017365,0.9924470266575529,0.9823963330135381,0.7963289387920482,0.9823963330135381,,T1000_itrr500_th100_topR5
dfcmplt,dfcmplt_Holdout,2024-04-30 14:42:05.089744,RandomForestClassifier,Holdout,5,,,RandomForestClassifier(),6,100,42,,,0.8821472645002058,0.8563430089524117,0.9709346332797357,0.8313231275150417,0.7262768130745659,0.7262768130745659,0.9864092048302574,0.9727669345579792,0.8436958009200677,0.9727669345579792,,T1000_itrr500_th100_topR5
dfcmplt,dfcmplt_Holdout,2024-04-30 14:42:05.089744,RandomForestClassifier,Holdout,5,,,RandomForestClassifier(),6,1000,42,,,0.8848621966269026,0.8589632917841079,0.9730944168504649,0.8344467648346617,0.7284984678243105,0.7284984678243105,0.9894281157439051,0.9785683799768308,0.8455494047072163,0.9785683799768308,,T1000_itrr500_th100_topR5
dfcmplt,dfcmplt_Holdout,2024-04-30 14:42:05.089744,RandomForestClassifier,Holdout,5,,,RandomForestClassifier(),10,100,42,,,0.9111435623200329,0.8932599309816933,0.9796760333371267,0.8784918045747683,0.8031409601634321,0.8031409601634321,0.9833789017999545,0.9706169904464937,0.8822314831973058,0.9706169904464937,,T1000_itrr500_th100_topR5
dfcmplt,dfcmplt_Holdout,2024-04-30 14:42:05.089744,RandomForestClassifier,Holdout,5,,,RandomForestClassifier(),10,1000,42,,,0.9120485396955985,0.8940430430007602,0.9825155751413076,0.8795694731543788,0.8031920326864146,0.8031920326864146,0.984894053315106,0.9734652971495077,0.8824387040610692,0.9734652971495077,,T1000_itrr500_th100_topR5
dfcmplt,dfcmplt_Holdout,2024-04-30 14:42:05.089744,RandomForestClassifier,Holdout,5,,,RandomForestClassifier(),15,100,42,,,0.9310777457836281,0.9185238056837701,0.9833577015828642,0.9084640422680378,0.8551838610827375,0.8551838610827375,0.9818637502848029,0.9697329352448161,0.9105043493341365,0.9697329352448161,,T1000_itrr500_th100_topR5
dfcmplt,dfcmplt_Holdout,2024-04-30 14:42:05.089744,RandomForestClassifier,Holdout,5,,,RandomForestClassifier(),15,1000,42,,,0.9329000411353352,0.9211937850243587,0.9851174286933789,0.9110688788003083,0.8620275791624106,0.8620275791624106,0.9803599908863067,0.9678660902482041,0.9146129167982574,0.9678660902482041,,T1000_itrr500_th100_topR5
dfcmplt,dfcmplt_Holdout,2024-04-30 14:42:05.089744,RandomForestClassifier,Holdout,5,,,RandomForestClassifier(),,100,42,,,0.9410695187165775,0.9313955214901399,0.9840866057741158,0.922799409279221,0.8824310520939734,0.8824310520939734,0.9803599908863067,0.9687314585449449,0.9263207266326787,0.9687314585449449,,T1000_itrr500_th100_topR5
dfcmplt,dfcmplt_Holdout,2024-04-30 14:42:05.089744,RandomForestClassifier,Holdout,5,,,RandomForestClassifier(),,1000,42,,,0.9447017688194158,0.9359154397741033,0.9854710643146076,0.9278915841400541,0.8914708886618998,0.8914708886618998,0.9803599908863067,0.9690635957965869,0.931681203315146,0.9690635957965869,,T1000_itrr500_th100_topR5
dfcmplt,dfcmplt_Holdout,2024-04-30 14:42:05.089744,LogisticRegression,Holdout,5,,,LogisticRegression(),,,,1000,,0.9202056766762648,0.9075587974020853,0.9692823996335903,0.894289669631853,0.8438712972420838,0.8438712972420838,0.971246297562087,0.9522280316506929,0.9032834424934523,0.9522280316506929,,T1000_itrr500_th100_topR5
dfcmplt,dfcmplt_Holdout,2024-04-30 14:42:05.089744,XGBClassifier,Holdout,5,,,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device='cpu', early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=None, n_jobs=None,
              num_parallel_tree=None, random_state=None, ...)",3,100,42,,0.1,0.9328877005347593,0.9234352799772669,0.9751244660018046,0.912248138603491,0.8756128702757916,0.8756128702757916,0.9712576896787422,0.9535090319807946,0.9217838003911056,0.9535090319807946,,T1000_itrr500_th100_topR5
dfcmplt,dfcmplt_Holdout,2024-04-30 14:42:05.089744,XGBClassifier,Holdout,5,,,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device='cpu', early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=None, n_jobs=None,
              num_parallel_tree=None, random_state=None, ...)",3,1000,42,,0.1,0.9247305635540929,0.9154736624503036,0.9617555720134211,0.9023051015726429,0.8687691521961186,0.8687691521961186,0.9621781727044885,0.9399058843092017,0.9168463550654943,0.9399058843092017,,T1000_itrr500_th100_topR5
dfcmplt,dfcmplt_Holdout,2024-04-30 14:42:05.089744,XGBClassifier,Holdout,5,,,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device='cpu', early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=None, n_jobs=None,
              num_parallel_tree=None, random_state=None, ...)",6,100,42,,0.1,0.934705882352941,0.926458510935152,0.9735055512422992,0.9154711663825779,0.8846782431052095,0.8846782431052095,0.9682387787650946,0.9498902984979292,0.9267213682310116,0.9498902984979292,,T1000_itrr500_th100_topR5
dfcmplt,dfcmplt_Holdout,2024-04-30 14:42:05.089744,XGBClassifier,Holdout,5,,,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device='cpu', early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=None, n_jobs=None,
              num_parallel_tree=None, random_state=None, ...)",6,1000,42,,0.1,0.9247346770876183,0.9162440063386249,0.9622432584618759,0.9026002283550165,0.8733401430030643,0.8733401430030643,0.9591478696741855,0.9354835951763313,0.9194783384257068,0.9354835951763313,,T1000_itrr500_th100_topR5
dfcmplt,dfcmplt_Holdout,2024-04-30 14:42:05.089744,XGBClassifier,Holdout,5,,,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device='cpu', early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=None, n_jobs=None,
              num_parallel_tree=None, random_state=None, ...)",10,100,42,,0.1,0.941958041958042,0.9347478438179208,0.9727684309669149,0.9252788590100369,0.8982379979570991,0.8982379979570991,0.9712576896787424,0.9551288395305839,0.9349019702773026,0.9551288395305839,,T1000_itrr500_th100_topR5
dfcmplt,dfcmplt_Holdout,2024-04-30 14:42:05.089744,XGBClassifier,Holdout,5,,,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device='cpu', early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=None, n_jobs=None,
              num_parallel_tree=None, random_state=None, ...)",10,1000,42,,0.1,0.9292677910324969,0.9226450958857819,0.9667659287740197,0.9094174370014836,0.8891726251276812,0.8891726251276812,0.9561175666438825,0.9321794063995348,0.9287464310682138,0.9321794063995348,,T1000_itrr500_th100_topR5
dfcmplt,dfcmplt_Holdout,2024-04-30 14:42:05.089744,XGBClassifier,Holdout,5,,,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device='cpu', early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=None, n_jobs=None,
              num_parallel_tree=None, random_state=None, ...)",15,100,42,,0.1,0.9419498148909913,0.9354926514447508,0.9721947945474234,0.925521913808135,0.9027579162410623,0.9027579162410623,0.9682273866484394,0.9509744346953649,0.9376519422699854,0.9509744346953649,,T1000_itrr500_th100_topR5
dfcmplt,dfcmplt_Holdout,2024-04-30 14:42:05.089744,XGBClassifier,Holdout,5,,,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device='cpu', early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=None, n_jobs=None,
              num_parallel_tree=None, random_state=None, ...)",15,1000,42,,0.1,0.931999177293295,0.9249305912892549,0.9676805301395376,0.9125429849900399,0.8891981613891726,0.8891981613891726,0.960663021189337,0.9384730856330364,0.9290416379087076,0.9384730856330364,,T1000_itrr500_th100_topR5
dfcmplt,dfcmplt_Holdout,2024-04-30 14:42:05.089744,XGBClassifier,Holdout,5,,,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device='cpu', early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=None, n_jobs=None,
              num_parallel_tree=None, random_state=None, ...)",,100,42,,0.1,0.934705882352941,0.926458510935152,0.9735055512422992,0.9154711663825779,0.8846782431052095,0.8846782431052095,0.9682387787650946,0.9498902984979292,0.9267213682310116,0.9498902984979292,,T1000_itrr500_th100_topR5
dfcmplt,dfcmplt_Holdout,2024-04-30 14:42:05.089744,XGBClassifier,Holdout,5,,,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device='cpu', early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=None, n_jobs=None,
              num_parallel_tree=None, random_state=None, ...)",,1000,42,,0.1,0.9247346770876183,0.9162440063386249,0.9622432584618759,0.9026002283550165,0.8733401430030643,0.8733401430030643,0.9591478696741855,0.9354835951763313,0.9194783384257068,0.9354835951763313,,T1000_itrr500_th100_topR5
dfcmplt,dfcmplt_Holdout,2024-04-30 14:42:05.089744,XGBClassifier,Holdout,5,,,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device='cpu', early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=None, n_jobs=None,
              num_parallel_tree=None, random_state=None, ...)",3,100,42,,0.2,0.9365199506375976,0.9272103906344,0.9762790545520641,0.9169645830895936,0.8801327885597547,0.8801327885597547,0.9742879927090453,0.9585735179178808,0.9246820758482333,0.9585735179178808,,T1000_itrr500_th100_topR5
